Altium Designer Pick and Place Locations
Y:\XFC\Schematics and PCB\Hbridge_Sensing_GateDriver-Interface_Rev4\Project Outputs for Hbridge_Sensing_GateDriver-Interface\Pick Place\Pick_Place_for_Hbridge_Sensing_GateDriver_Interface.csv

========================================================================================================================
File Design Information:

Date:       21/11/25
Time:       09:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)"
"A high","TopLayer","TP-L","65.4812mm","20.7264mm"
"A low","TopLayer","TP-L","65.6336mm","37.0078mm"
"A RTD","TopLayer","TP-L","106.4768mm","38.2270mm"
"A RTD + limit","TopLayer","TP-L","116.6622mm","17.5260mm"
"B high","TopLayer","TP-L","160.3756mm","21.0058mm"
"B low","TopLayer","TP-L","160.4010mm","36.1694mm"
"B RTD","TopLayer","TP-L","130.2258mm","38.5572mm"
"C1","BottomLayer","0805","194.3100mm","88.2650mm"
"C2","BottomLayer","0805","192.3034mm","79.2607mm"
"C3","BottomLayer","0603","192.3288mm","77.4954mm"
"C4","BottomLayer","0603","192.3034mm","75.6793mm"
"C5","BottomLayer","0603","194.3102mm","86.1818mm"
"C6","BottomLayer","0603","187.7822mm","91.6432mm"
"C7","BottomLayer","0805","191.0947mm","14.6558mm"
"C8","BottomLayer","0603","190.2968mm","86.1818mm"
"C9","BottomLayer","0805","190.3984mm","88.3158mm"
"C10","BottomLayer","0805","203.0984mm","88.2650mm"
"C11","BottomLayer","0805","201.8202mm","78.8034mm"
"C12","BottomLayer","0603","201.8202mm","80.3644mm"
"C13","BottomLayer","0603","201.5490mm","75.5396mm"
"C14","BottomLayer","0603","203.1238mm","86.1818mm"
"C15","BottomLayer","0603","197.0192mm","91.7223mm"
"C16","BottomLayer","0603","199.3264mm","86.1564mm"
"C17","BottomLayer","0805","199.3138mm","88.2904mm"
"C18","TopLayer","0603","194.0782mm","10.0203mm"
"C19","TopLayer","0603","203.1746mm","14.2240mm"
"C20","BottomLayer","0805","191.0439mm","10.3124mm"
"C21","TopLayer","0603","194.0559mm","14.6431mm"
"C22","BottomLayer","0805","203.0220mm","67.1068mm"
"C23","TopLayer","0603","203.0783mm","69.8464mm"
"C24","BottomLayer","0805","203.0220mm","62.6110mm"
"C25","TopLayer","0603","211.2264mm","65.3034mm"
"C26","BottomLayer","0805","49.9618mm","13.1824mm"
"C27","BottomLayer","0805","47.0408mm","14.1984mm"
"C28","BottomLayer","0603","47.0282mm","16.0526mm"
"C29","BottomLayer","0805","193.8782mm","94.7674mm"
"C30","BottomLayer","0805","190.9064mm","94.7674mm"
"C31","BottomLayer","0603","190.3558mm","91.0313mm"
"C32","BottomLayer","0805","189.4712mm","38.3410mm"
"C33","BottomLayer","0805","192.6187mm","37.4372mm"
"C34","BottomLayer","0603","193.7871mm","34.7956mm"
"C35","BottomLayer","0603","194.3862mm","91.0313mm"
"C36","BottomLayer","0805","199.8980mm","94.8182mm"
"C37","BottomLayer","0805","202.7174mm","94.8182mm"
"C38","BottomLayer","0805","204.2346mm","52.0192mm"
"C39","BottomLayer","0805","205.2762mm","49.0728mm"
"C40","BottomLayer","0603","207.1304mm","49.0982mm"
