Altium Designer Pick and Place Locations
Y:\Kenworth Falcon\PCB files\LoadShedding_AC-Switch\Rev1\Project Outputs for Free Documents\Pick Place\Pick Place for LoadShedding_AC-Switch.csv

========================================================================================================================
File Design Information:

Date:       25/11/25
Time:       14:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)"
"C1","BottomLayer","0603_CAPACITOR","93.6500mm","44.4450mm"
"C2","TopLayer","0603_CAPACITOR","91.9582mm","6.3872mm"
"C3","TopLayer","0603_CAPACITOR","99.3632mm","14.3256mm"
"C4","TopLayer","0603_CAPACITOR","99.3868mm","17.3228mm"
"C5","BottomLayer","0603_CAPACITOR","93.6500mm","42.5000mm"
"C6","BottomLayer","0603_CAPACITOR","95.7300mm","35.4643mm"
"C7","BottomLayer","0603_CAPACITOR","95.7300mm","37.3679mm"
"C8","BottomLayer","0603_CAPACITOR","95.7050mm","31.6572mm"
"C9","BottomLayer","0603_CAPACITOR","95.7050mm","33.5608mm"
"C10","BottomLayer","0603_CAPACITOR","69.5500mm","42.5000mm"
"C11","TopLayer","0603_CAPACITOR","64.3992mm","6.3636mm"
"C12","TopLayer","0603_CAPACITOR","71.2436mm","14.2494mm"
"C13","TopLayer","0603_CAPACITOR","71.2182mm","17.3736mm"
"C14","BottomLayer","0603_CAPACITOR","69.5500mm","44.4450mm"
"C15","BottomLayer","0603_CAPACITOR","72.8750mm","35.3750mm"
"C16","BottomLayer","0603_CAPACITOR","72.8750mm","37.2836mm"
"C17","BottomLayer","0603_CAPACITOR","72.8250mm","33.4500mm"
"C18","BottomLayer","0603_CAPACITOR","72.8250mm","31.5414mm"
"DL1","TopLayer","0603_LED","73.8402mm","40.3750mm"
"DL2","TopLayer","0603_LED","83.2880mm","14.1798mm"
"DL3","TopLayer","0603_LED","56.0748mm","13.8870mm"
"DL4","TopLayer","0603_LED","56.0750mm","20.1583mm"
"DL5","TopLayer","0603_LED","48.5972mm","4.0518mm"
"DL6","TopLayer","0603_LED","97.9250mm","40.3750mm"
"F1","TopLayer","C2_BEL","80.5155mm","8.2550mm"
"F2","TopLayer","C2_BEL","53.1216mm","8.0518mm"
"J1","TopLayer","CONN_1-406541-1","38.2400mm","11.5200mm"
"J2","TopLayer","7461098_WRE","113.4720mm","45.7200mm"
"J3","TopLayer","7461098_WRE","145.0000mm","45.7200mm"
"J4","TopLayer","7461098_WRE","22.0000mm","45.7200mm"
"J5","TopLayer","7461098_WRE","53.5280mm","45.7200mm"
"L1","TopLayer","IND_RLS_226","103.6422mm","15.8496mm"
"L2","TopLayer","TCK051","99.6290mm","6.9596mm"
"L3","TopLayer","IND_RLS_226","75.6260mm","15.7734mm"
"L4","TopLayer","TCK051","71.6382mm","7.1120mm"
"Q1","BottomLayer","TO545P521X1594X2566-3P_-_no_hole","113.4720mm","60.0000mm"
"Q2","BottomLayer","TO545P521X1594X2566-3P_-_no_hole","145.0000mm","60.0000mm"
"Q3","BottomLayer","TO545P521X1594X2566-3P_-_no_hole","22.0000mm","60.0000mm"
"Q4","BottomLayer","TO545P521X1594X2566-3P_-_no_hole","53.5280mm","60.0000mm"
"R1","TopLayer","0603_RESISTOR","93.0300mm","50.2750mm"
"R2","TopLayer","0603_RESISTOR","93.0300mm","48.2508mm"
"R3","TopLayer","0603_RESISTOR","98.0250mm","44.3650mm"
"R4","TopLayer","0603_RESISTOR","98.0250mm","46.3100mm"
"R5","TopLayer","0603_RESISTOR","71.8550mm","50.5500mm"
"R6","TopLayer","0603_RESISTOR","85.5854mm","5.4610mm"
"R7","TopLayer","0603_RESISTOR","71.8550mm","48.5758mm"
"R8","TopLayer","0603_RESISTOR","74.0340mm","44.4006mm"
"R9","TopLayer","0603_RESISTOR","57.1068mm","5.5372mm"
"R10","TopLayer","0603_RESISTOR","74.0340mm","46.3100mm"
"R11","TopLayer","0603_RESISTOR","74.0402mm","42.4356mm"
"R12","TopLayer","0603_RESISTOR","83.2900mm","16.0500mm"
"R13","TopLayer","0603_RESISTOR","56.0596mm","15.7666mm"
"R14","TopLayer","0603_RESISTOR","56.0600mm","18.2750mm"
