Component,Type,X,Y,Width,Height,Rotation,Layer,Reference
A high,Cursor_3x3,65.4812,20.7264,0,0,0,TopLayer,A high
A low,Cursor_3x3,65.6336,37.0078,0,0,0,TopLayer,A low
A RTD,Cursor_3x3,106.4768,38.227,0,0,0,TopLayer,A RTD
A RTD + limit,Cursor_3x3,116.6622,17.526,0,0,0,TopLayer,A RTD + limit
B high,Cursor_3x3,160.3756,21.0058,0,0,0,TopLayer,B high
B low,Cursor_3x3,160.401,36.1694,0,0,0,TopLayer,B low
B RTD,Cursor_3x3,130.2258,38.5572,0,0,0,TopLayer,B RTD
C18,Box,194.0782,10.0203,1,1,0,TopLayer,C18
C19,Box,203.1746,14.224,1,1,0,TopLayer,C19
C21,Box,194.0559,14.6431,1,1,0,TopLayer,C21
C23,Box,203.0783,69.8464,1,1,0,TopLayer,C23
C25,Box,211.2264,65.3034,1,1,0,TopLayer,C25
C42,Box,13.7414,43.5864,1,1,0,TopLayer,C42
C52,Box,133.858,59.4868,1,1,0,TopLayer,C52
C55,Box,196.9502,75.5396,1,1,0,TopLayer,C55
C59,Box,196.8246,79.756,1,1,0,TopLayer,C59
C66,Box,105.7656,22.4906,1,1,0,TopLayer,C66
C69,Box,91.4667,30.7929,1,1,0,TopLayer,C69
C71,Box,91.4921,35.2279,1,1,0,TopLayer,C71
C79,Box,133.837,31.8996,1,1,0,TopLayer,C79
C80,Box,134.747,23.0124,1,1,0,TopLayer,C80
C81,Box,133.71,36.0268,1,1,0,TopLayer,C81
C93,Box,62.1044,34.7726,1,1,0,TopLayer,C93
C99,Box,211.1502,71.1454,1,1,0,TopLayer,C99
C101,Box,190.5,67.945,1,1,0,TopLayer,C101
C102,Box,198.1454,67.6148,1,1,0,TopLayer,C102
C116,Box,11.176,43.6626,1,1,0,TopLayer,C116
C124,Box,107.2388,34.2646,1,1,0,TopLayer,C124
C127,Box,118.6434,34.2646,1,1,0,TopLayer,C127
CONV,Box,223.6724,34.3916,1,1,0,TopLayer,CONV
CR3,Cursor_3x3,186.1566,12.52,0,0,0,TopLayer,CR3
CR4,Cursor_3x3,199.517,59.9948,0,0,0,TopLayer,CR4
CR5,Cursor_3x3,193.7512,60.0456,0,0,0,TopLayer,CR5
DATA RX,Cursor_3x3,223.5962,22.9362,0,0,0,TopLayer,DATA RX
DATA TX,Cursor_3x3,188.3664,22.1742,0,0,0,TopLayer,DATA TX
DL1,Cursor_3x3,139.473,45.0888,0,0,0,TopLayer,DL1
DL2,Cursor_3x3,129.5762,44.9578,0,0,0,TopLayer,DL2
DL3,Cursor_3x3,83.6454,45.2378,0,0,0,TopLayer,DL3
DL4,Cursor_3x3,119.987,45.0596,0,0,0,TopLayer,DL4
DL5,Cursor_3x3,110.9752,45.06,0,0,0,TopLayer,DL5
DL6,Cursor_3x3,92.6469,45.1989,0,0,0,TopLayer,DL6
DL7,Cursor_3x3,102.0572,45.1612,0,0,0,TopLayer,DL7
DL8,Cursor_3x3,208.153,161.9504,0,0,0,TopLayer,DL8
DL9,Cursor_3x3,180.6194,57.658,0,0,0,TopLayer,DL9
DL10,Cursor_3x3,93.472,58.5694,0,0,0,TopLayer,DL10
DL11,Cursor_3x3,103.8606,58.5694,0,0,0,TopLayer,DL11
DL12,Cursor_3x3,56.2744,58.3948,0,0,0,TopLayer,DL12
DL13,Cursor_3x3,146.7496,57.5568,0,0,0,TopLayer,DL13
DL16,Cursor_3x3,149.0872,45.2378,0,0,0,TopLayer,DL16
F1,Cursor_3x3,16.4084,131.4704,0,0,0,TopLayer,F1
Fault,Cursor_3x3,58.6868,17.3608,0,0,0,TopLayer,Fault
GND,Cursor_3x3,43.0276,49.9364,0,0,0,TopLayer,GND
H1,Cursor_3x3,27.1018,150.7744,0,0,0,TopLayer,H1
H2,Cursor_3x3,181.5588,76.3016,0,0,0,TopLayer,H2
H3,Cursor_3x3,196.6468,156.7434,0,0,0,TopLayer,H3
Iac,Cursor_3x3,215.7984,9.3726,0,0,0,TopLayer,Iac
Iac - limit,Cursor_3x3,199.7202,19.1262,0,0,0,TopLayer,Iac - limit
Iac + limit,Cursor_3x3,199.7456,6.595,0,0,0,TopLayer,Iac + limit
IC1,Cursor_3x3,48.26,21.793,0,0,0,TopLayer,IC1
IC2,Cursor_3x3,192.5171,29.2076,0,0,0,TopLayer,IC2
Idc,Cursor_3x3,208.2292,78.5114,0,0,0,TopLayer,Idc
Idc - limit,Cursor_3x3,213.5886,79.2693,0,0,0,TopLayer,Idc - limit
Idc + limit,Cursor_3x3,213.106,57.3264,0,0,0,TopLayer,Idc + limit
J1,Cursor_3x3,8.3566,32.7914,0,0,0,TopLayer,J1
J2,Cursor_3x3,221.7166,79.276,0,0,0,TopLayer,J2
J3,Cursor_3x3,171.3484,49.53,0,0,0,TopLayer,J3
J3,Cursor_3x3,215.0364,94.0054,0,0,0,TopLayer,J3
J4,Cursor_3x3,188.3918,60.0456,0,0,0,TopLayer,J4
J4,Cursor_3x3,208.8896,12.6746,0,0,0,TopLayer,J4
J5,Cursor_3x3,44.2468,42.5958,0,0,0,TopLayer,J5
J6,Cursor_3x3,206.0194,75.5396,0,0,0,TopLayer,J6
J6,Cursor_3x3,81.4582,10.795,0,0,0,TopLayer,J6
J7,Cursor_3x3,99.6442,10.541,0,0,0,TopLayer,J7
J7,Cursor_3x3,145.2882,10.9982,0,0,0,TopLayer,J7
J8,Cursor_3x3,167.1828,9.9568,0,0,0,TopLayer,J8
