Component,Type,X,Y,Width,Height,Rotation,Layer,Reference
C2,Box,91.9582,6.3872,1,1,0,TopLayer,C2
C3,Box,99.3632,14.3256,1,1,0,TopLayer,C3
C4,Box,99.3868,17.3228,1,1,0,TopLayer,C4
C11,Box,64.3992,6.3636,1,1,0,TopLayer,C11
C12,Box,71.2436,14.2494,1,1,0,TopLayer,C12
C13,Box,71.2182,17.3736,1,1,0,TopLayer,C13
DL1,Cursor_3x3,73.8402,40.375,0,0,0,TopLayer,DL1
DL2,Cursor_3x3,83.288,14.1798,0,0,0,TopLayer,DL2
DL3,Cursor_3x3,56.0748,13.887,0,0,0,TopLayer,DL3
DL4,Cursor_3x3,56.075,20.1583,0,0,0,TopLayer,DL4
DL5,Cursor_3x3,48.5972,4.0518,0,0,0,TopLayer,DL5
DL6,Cursor_3x3,97.925,40.375,0,0,0,TopLayer,DL6
F1,Cursor_3x3,80.5155,8.255,0,0,0,TopLayer,F1
F2,Cursor_3x3,53.1216,8.0518,0,0,0,TopLayer,F2
J1,Cursor_3x3,38.24,11.52,0,0,0,TopLayer,J1
J2,Cursor_3x3,113.472,45.72,0,0,0,TopLayer,J2
J3,Cursor_3x3,145.0,45.72,0,0,0,TopLayer,J3
J4,Cursor_3x3,22.0,45.72,0,0,0,TopLayer,J4
J5,Cursor_3x3,53.528,45.72,0,0,0,TopLayer,J5
L1,Cursor_3x3,103.6422,15.8496,0,0,0,TopLayer,L1
L2,Cursor_3x3,99.629,6.9596,0,0,0,TopLayer,L2
L3,Cursor_3x3,75.626,15.7734,0,0,0,TopLayer,L3
L4,Cursor_3x3,71.6382,7.112,0,0,0,TopLayer,L4
R1,Box,93.03,50.275,1,1,0,TopLayer,R1
R2,Box,93.03,48.2508,1,1,0,TopLayer,R2
R3,Box,98.025,44.365,1,1,0,TopLayer,R3
R4,Box,98.025,46.31,1,1,0,TopLayer,R4
R5,Box,71.855,50.55,1,1,0,TopLayer,R5
R6,Box,85.5854,5.461,1,1,0,TopLayer,R6
R7,Box,71.855,48.5758,1,1,0,TopLayer,R7
R8,Box,74.034,44.4006,1,1,0,TopLayer,R8
R9,Box,57.1068,5.5372,1,1,0,TopLayer,R9
R10,Box,74.034,46.31,1,1,0,TopLayer,R10
R11,Box,74.0402,42.4356,1,1,0,TopLayer,R11
R12,Box,83.29,16.05,1,1,0,TopLayer,R12
R13,Box,56.0596,15.7666,1,1,0,TopLayer,R13
R14,Box,56.06,18.275,1,1,0,TopLayer,R14
R15,Box,50.3748,4.0418,1,1,0,TopLayer,R15
R16,Box,98.0313,42.42,1,1,0,TopLayer,R16
S1,Cursor_3x3,72.07,74.5,0,0,0,TopLayer,S1
S2,Cursor_3x3,94.93,74.5,0,0,0,TopLayer,S2
S3,Cursor_3x3,163.05,3.875,0,0,0,TopLayer,S3
S4,Cursor_3x3,3.9,3.875,0,0,0,TopLayer,S4
TP1,Cursor_1x1,91.2,15.425,0,0,0,TopLayer,TP1
TP2,Cursor_1x1,96.625,49.0,0,0,0,TopLayer,TP2
TP3,Cursor_1x1,49.525,18.675,0,0,0,TopLayer,TP3
TP4,Cursor_1x1,96.725,57.159,0,0,0,TopLayer,TP4
TP5,Cursor_1x1,49.525,10.31,0,0,0,TopLayer,TP5
TP6,Cursor_1x1,49.525,14.5,0,0,0,TopLayer,TP6
TP7,Cursor_1x1,96.675,53.075,0,0,0,TopLayer,TP7
TP8,Cursor_1x1,63.175,15.65,0,0,0,TopLayer,TP8
TP9,Cursor_1x1,68.425,49.175,0,0,0,TopLayer,TP9
TP10,Cursor_1x1,68.45,57.225,0,0,0,TopLayer,TP10
TP11,Cursor_1x1,68.5,53.2,0,0,0,TopLayer,TP11
U1,Cursor_3x3,92.7202,28.702,0,0,0,TopLayer,U1
U2,Cursor_3x3,93.625,43.525,0,0,0,TopLayer,U2
U3,Cursor_3x3,86.167,9.6012,0,0,0,TopLayer,U3
U4,Cursor_3x3,69.8602,28.702,0,0,0,TopLayer,U4
U5,Cursor_3x3,69.5166,43.525,0,0,0,TopLayer,U5
U6,Cursor_3x3,58.6334,9.2964,0,0,0,TopLayer,U6
