component_name,roi_type,center_x_px,center_y_px,width_px,height_px,pixel_count,pixel_list
A high,Cursor_3x3,176.45,269.72,1,1,9,"[(175, 269), (175, 270), (175, 271), (176, 269), (176, 270), (176, 271), (177, 269), (177, 270), (177, 271)]"
A low,Cursor_3x3,176.71,242.01,1,1,9,"[(176, 241), (176, 242), (176, 243), (177, 241), (177, 242), (177, 243), (178, 241), (178, 242), (178, 243)]"
A RTD,Cursor_3x3,246.22,239.94,1,1,9,"[(245, 239), (245, 240), (245, 241), (246, 239), (246, 240), (246, 241), (247, 239), (247, 240), (247, 241)]"
A RTD + limit,Cursor_3x3,263.56,275.17,1,1,9,"[(263, 274), (263, 275), (263, 276), (264, 274), (264, 275), (264, 276), (265, 274), (265, 275), (265, 276)]"
B high,Cursor_3x3,337.96,269.25,1,1,9,"[(337, 268), (337, 269), (337, 270), (338, 268), (338, 269), (338, 270), (339, 268), (339, 269), (339, 270)]"
B low,Cursor_3x3,338.00,243.44,1,1,9,"[(337, 242), (337, 243), (337, 244), (338, 242), (338, 243), (338, 244), (339, 242), (339, 243), (339, 244)]"
B RTD,Cursor_3x3,286.64,239.38,1,1,9,"[(286, 238), (286, 239), (286, 240), (287, 238), (287, 239), (287, 240), (288, 238), (288, 239), (288, 240)]"
C18,Cursor_1x1,395.32,287.95,1,1,1,"[(395, 288)]"
C19,Cursor_1x1,410.80,280.79,1,1,1,"[(411, 281)]"
C21,Cursor_1x1,395.28,280.08,1,1,1,"[(395, 280)]"
C23,Cursor_1x1,410.64,186.12,1,1,1,"[(411, 186)]"
C25,Cursor_1x1,424.51,193.85,1,1,1,"[(425, 194)]"
C42,Cursor_1x1,88.39,230.82,1,1,1,"[(88, 231)]"
C52,Cursor_1x1,292.82,203.75,1,1,1,"[(293, 204)]"
C55,Cursor_1x1,400.21,176.43,1,1,1,"[(400, 176)]"
C59,Cursor_1x1,399.99,169.26,1,1,1,"[(400, 169)]"
C66,Cursor_1x1,245.01,266.72,1,1,1,"[(245, 267)]"
C69,Cursor_1x1,220.68,252.59,1,1,1,"[(221, 253)]"
C71,Cursor_1x1,220.72,245.04,1,1,1,"[(221, 245)]"
C79,Cursor_1x1,292.79,250.71,1,1,1,"[(293, 251)]"
C80,Cursor_1x1,294.34,265.83,1,1,1,"[(294, 266)]"
C81,Cursor_1x1,292.57,243.68,1,1,1,"[(293, 244)]"
C93,Cursor_1x1,170.70,245.82,1,1,1,"[(171, 246)]"
C99,Cursor_1x1,424.38,183.91,1,1,1,"[(424, 184)]"
C101,Cursor_1x1,389.23,189.36,1,1,1,"[(389, 189)]"
C102,Cursor_1x1,402.24,189.92,1,1,1,"[(402, 190)]"
C116,Cursor_1x1,84.02,230.69,1,1,1,"[(84, 231)]"
C124,Cursor_1x1,247.52,246.68,1,1,1,"[(248, 247)]"
C127,Cursor_1x1,266.93,246.68,1,1,1,"[(267, 247)]"
CONV,Cursor_1x1,445.69,246.47,1,1,1,"[(446, 246)]"
CR3,Cursor_3x3,381.84,283.69,1,1,9,"[(381, 283), (381, 284), (381, 285), (382, 283), (382, 284), (382, 285), (383, 283), (383, 284), (383, 285)]"
CR4,Cursor_3x3,404.58,202.89,1,1,9,"[(404, 202), (404, 203), (404, 204), (405, 202), (405, 203), (405, 204), (406, 202), (406, 203), (406, 204)]"
CR5,Cursor_3x3,394.76,202.80,1,1,9,"[(394, 202), (394, 203), (394, 204), (395, 202), (395, 203), (395, 204), (396, 202), (396, 203), (396, 204)]"
DATA RX,Cursor_3x3,445.56,265.96,1,1,9,"[(445, 265), (445, 266), (445, 267), (446, 265), (446, 266), (446, 267), (447, 265), (447, 266), (447, 267)]"
DATA TX,Cursor_3x3,385.60,267.26,1,1,9,"[(385, 266), (385, 267), (385, 268), (386, 266), (386, 267), (386, 268), (387, 266), (387, 267), (387, 268)]"
DL1,Cursor_3x3,302.38,228.26,1,1,9,"[(301, 227), (301, 228), (301, 229), (302, 227), (302, 228), (302, 229), (303, 227), (303, 228), (303, 229)]"
DL2,Cursor_3x3,285.54,228.48,1,1,9,"[(285, 227), (285, 228), (285, 229), (286, 227), (286, 228), (286, 229), (287, 227), (287, 228), (287, 229)]"
DL3,Cursor_3x3,207.36,228.01,1,1,9,"[(206, 227), (206, 228), (206, 229), (207, 227), (207, 228), (207, 229), (208, 227), (208, 228), (208, 229)]"
DL4,Cursor_3x3,269.22,228.31,1,1,9,"[(268, 227), (268, 228), (268, 229), (269, 227), (269, 228), (269, 229), (270, 227), (270, 228), (270, 229)]"
DL5,Cursor_3x3,253.88,228.31,1,1,9,"[(253, 227), (253, 228), (253, 229), (254, 227), (254, 228), (254, 229), (255, 227), (255, 228), (255, 229)]"
DL6,Cursor_3x3,222.68,228.07,1,1,9,"[(222, 227), (222, 228), (222, 229), (223, 227), (223, 228), (223, 229), (224, 227), (224, 228), (224, 229)]"
DL7,Cursor_3x3,238.70,228.14,1,1,9,"[(238, 227), (238, 228), (238, 229), (239, 227), (239, 228), (239, 229), (240, 227), (240, 228), (240, 229)]"
DL8,Cursor_3x3,419.27,29.36,1,1,9,"[(418, 28), (418, 29), (418, 30), (419, 28), (419, 29), (419, 30), (420, 28), (420, 29), (420, 30)]"
DL9,Cursor_3x3,372.41,206.87,1,1,9,"[(371, 206), (371, 207), (371, 208), (372, 206), (372, 207), (372, 208), (373, 206), (373, 207), (373, 208)]"
DL10,Cursor_3x3,224.09,205.32,1,1,9,"[(223, 204), (223, 205), (223, 206), (224, 204), (224, 205), (224, 206), (225, 204), (225, 205), (225, 206)]"
DL11,Cursor_3x3,241.77,205.32,1,1,9,"[(241, 204), (241, 205), (241, 206), (242, 204), (242, 205), (242, 206), (243, 204), (243, 205), (243, 206)]"
DL12,Cursor_3x3,160.78,205.61,1,1,9,"[(160, 205), (160, 206), (160, 207), (161, 205), (161, 206), (161, 207), (162, 205), (162, 206), (162, 207)]"
DL13,Cursor_3x3,314.77,207.04,1,1,9,"[(314, 206), (314, 207), (314, 208), (315, 206), (315, 207), (315, 208), (316, 206), (316, 207), (316, 208)]"
DL16,Cursor_3x3,318.74,228.01,1,1,9,"[(318, 227), (318, 228), (318, 229), (319, 227), (319, 228), (319, 229), (320, 227), (320, 228), (320, 229)]"
