component_name,roi_type,center_x_px,center_y_px,width_px,height_px,pixel_count,pixel_list
C2,Cursor_1x1,319.75,390.08,1,1,1,"[(320, 390)]"
C3,Cursor_1x1,337.05,371.55,1,1,1,"[(337, 372)]"
C4,Cursor_1x1,337.10,364.55,1,1,1,"[(337, 365)]"
C11,Cursor_1x1,255.39,390.14,1,1,1,"[(255, 390)]"
C12,Cursor_1x1,271.38,371.72,1,1,1,"[(271, 372)]"
C13,Cursor_1x1,271.32,364.43,1,1,1,"[(271, 364)]"
DL1,Cursor_3x3,277.44,310.71,1,1,9,"[(276, 310), (276, 311), (276, 312), (277, 310), (277, 311), (277, 312), (278, 310), (278, 311), (278, 312)]"
DL2,Cursor_3x3,299.50,371.89,1,1,9,"[(299, 371), (299, 372), (299, 373), (300, 371), (300, 372), (300, 373), (301, 371), (301, 372), (301, 373)]"
DL3,Cursor_3x3,235.95,372.57,1,1,9,"[(235, 372), (235, 373), (235, 374), (236, 372), (236, 373), (236, 374), (237, 372), (237, 373), (237, 374)]"
DL4,Cursor_3x3,235.95,357.92,1,1,9,"[(235, 357), (235, 358), (235, 359), (236, 357), (236, 358), (236, 359), (237, 357), (237, 358), (237, 359)]"
DL5,Cursor_3x3,218.49,395.54,1,1,9,"[(217, 395), (217, 396), (217, 397), (218, 395), (218, 396), (218, 397), (219, 395), (219, 396), (219, 397)]"
DL6,Cursor_3x3,333.69,310.71,1,1,9,"[(333, 310), (333, 311), (333, 312), (334, 310), (334, 311), (334, 312), (335, 310), (335, 311), (335, 312)]"
F1,Cursor_3x3,293.03,385.72,1,1,9,"[(292, 385), (292, 386), (292, 387), (293, 385), (293, 386), (293, 387), (294, 385), (294, 386), (294, 387)]"
F2,Cursor_3x3,229.06,386.20,1,1,9,"[(228, 385), (228, 386), (228, 387), (229, 385), (229, 386), (229, 387), (230, 385), (230, 386), (230, 387)]"
J1,Cursor_3x3,194.30,378.10,1,1,9,"[(193, 377), (193, 378), (193, 379), (194, 377), (194, 378), (194, 379), (195, 377), (195, 378), (195, 379)]"
J2,Cursor_3x3,369.99,298.23,1,1,9,"[(369, 297), (369, 298), (369, 299), (370, 297), (370, 298), (370, 299), (371, 297), (371, 298), (371, 299)]"
J3,Cursor_3x3,443.62,298.23,1,1,9,"[(443, 297), (443, 298), (443, 299), (444, 297), (444, 298), (444, 299), (445, 297), (445, 298), (445, 299)]"
J4,Cursor_3x3,156.38,298.23,1,1,9,"[(155, 297), (155, 298), (155, 299), (156, 297), (156, 298), (156, 299), (157, 297), (157, 298), (157, 299)]"
J5,Cursor_3x3,230.01,298.23,1,1,9,"[(229, 297), (229, 298), (229, 299), (230, 297), (230, 298), (230, 299), (231, 297), (231, 298), (231, 299)]"
L1,Cursor_3x3,347.04,367.99,1,1,9,"[(346, 367), (346, 368), (346, 369), (347, 367), (347, 368), (347, 369), (348, 367), (348, 368), (348, 369)]"
L2,Cursor_3x3,337.67,388.75,1,1,9,"[(337, 388), (337, 389), (337, 390), (338, 388), (338, 389), (338, 390), (339, 388), (339, 389), (339, 390)]"
L3,Cursor_3x3,281.61,368.16,1,1,9,"[(281, 367), (281, 368), (281, 369), (282, 367), (282, 368), (282, 369), (283, 367), (283, 368), (283, 369)]"
L4,Cursor_3x3,272.30,388.39,1,1,9,"[(271, 387), (271, 388), (271, 389), (272, 387), (272, 388), (272, 389), (273, 387), (273, 388), (273, 389)]"
R1,Cursor_1x1,322.26,287.59,1,1,1,"[(322, 288)]"
R2,Cursor_1x1,322.26,292.32,1,1,1,"[(322, 292)]"
R3,Cursor_1x1,333.92,301.39,1,1,1,"[(334, 301)]"
